MovieCollections,AveragedExecutionTime, AveragedTN
1,0.0648, 0.06485000
2,0.0002, 0.00011500
4,0.0002, 0.00006000
8,0.0007, 0.00009250
16,0.0006, 0.00003750
32,0.0008, 0.00002594
64,0.0016, 0.00002453
128,0.0029, 0.00002297
256,0.0056, 0.00002203
512,0.0114, 0.00002221
1024,0.0220, 0.00002145
2048,0.0444, 0.00002166
4096,0.0880, 0.00002147
8192,0.1756, 0.00002144
16384,0.3519, 0.00002148
32768,0.7177, 0.00002190
65536,1.3363, 0.00002039
131072,2.6430, 0.00002016
262144,5.3178, 0.00002029
524288,10.7242, 0.00002045
